ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
47026945,中古マンション等,,47201,沖縄県,那覇市,旭町,旭橋,6,３ＬＤＫ,90,,,,平成21年,ＳＲＣ,住宅,,,,,商業地域,,,2009年第１四半期,,,7.5910646070264995
47006067,中古マンション等,,47211,沖縄県,沖縄市,泡瀬,,,３ＬＤＫ,75,,,,平成27年,ＲＣ,,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2019年第４四半期,未改装,,7.462397997898956
47001690,中古マンション等,,47201,沖縄県,那覇市,松尾,県庁前(沖縄),13,３ＬＤＫ,65,,,,平成26年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2016年第４四半期,未改装,,7.491361693834273
47000463,中古マンション等,,47201,沖縄県,那覇市,小禄,奥武山公園,16,３ＬＤＫ,60,,,,平成4年,ＲＣ,,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2018年第２四半期,未改装,,6.690196080028514
47000315,中古マンション等,,47201,沖縄県,那覇市,字上間,,,３ＬＤＫ,75,,,,平成27年,ＲＣ,住宅,住宅,,,,,,,2017年第２四半期,未改装,,7.505149978319906
47017636,中古マンション等,,47201,沖縄県,那覇市,松尾,県庁前(沖縄),10,２ＬＤＫ,70,,,,平成15年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2011年第４四半期,未改装,,7.278753600952829
47001296,中古マンション等,,47201,沖縄県,那覇市,長田,安里,29,３ＬＤＫ,70,,,,平成5年,ＳＲＣ,,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2019年第１四半期,改装済,,7.3222192947339195
47027332,中古マンション等,,47201,沖縄県,那覇市,長田,,,３ＬＤＫ,70,,,,平成20年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2009年第２四半期,未改装,,7.447158031342219
47016708,中古マンション等,,47208,沖縄県,浦添市,港川,,,３ＬＤＫ,75,,,,平成17年,ＳＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2014年第４四半期,未改装,,7.361727836017593
47000183,中古マンション等,,47201,沖縄県,那覇市,字天久,,,３ＬＤＫ,60,,,,平成9年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2016年第３四半期,未改装,,7.041392685158225
47001154,中古マンション等,,47201,沖縄県,那覇市,壺川,壺川,3,３ＬＤＫ,85,,,,平成18年,ＲＣ,住宅,住宅,,,,準住居地域,60.0,200.0,2019年第４四半期,改装済,,7.643452676486188
47030975,中古マンション等,,47201,沖縄県,那覇市,首里山川町,儀保,10,オープンフロア,160,,,,昭和63年,ＳＲＣ,店舗,,,,,第２種中高層住居専用地域,60.0,200.0,2007年第２四半期,未改装,調停・競売等,7.2552725051033065
47031736,中古マンション等,,47208,沖縄県,浦添市,港川,,,３ＬＤＫ,65,,,,平成20年,ＲＣ,住宅,,,,,,,,2008年第１四半期,,,7.361727836017593
47027073,中古マンション等,,47201,沖縄県,那覇市,金城,小禄,3,３ＬＤＫ,65,,,,平成11年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2009年第３四半期,未改装,,7.301029995663981
47022736,中古マンション等,,47201,沖縄県,那覇市,繁多川,,,３ＬＤＫ,60,,,,平成7年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2012年第３四半期,改装済,,7.041392685158225
47014839,中古マンション等,,47201,沖縄県,那覇市,壺川,壺川,6,３ＬＤＫ,65,,,,平成6年,ＲＣ,住宅,,,,,,,,2010年第２四半期,改装済,,7.113943352306837
47003656,中古マンション等,,47208,沖縄県,浦添市,字経塚,,,３ＬＤＫ,70,,,,平成4年,ＲＣ,,住宅,,,,第１種住居地域,60.0,200.0,2018年第１四半期,未改装,,7.301029995663981
47016715,中古マンション等,,47208,沖縄県,浦添市,港川,,,３ＬＤＫ,65,,,,平成15年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2014年第２四半期,改装済,,7.2552725051033065
47003722,中古マンション等,,47208,沖縄県,浦添市,城間,,,３ＬＤＫ,75,,,,平成20年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2017年第３四半期,未改装,,7.447158031342219
47031032,中古マンション等,,47201,沖縄県,那覇市,長田,安里,25,２ＬＤＫ,50,,,,昭和61年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2007年第３四半期,改装済,,6.838849090737256
47000375,中古マンション等,,47201,沖縄県,那覇市,おもろまち,おもろまち,9,２ＬＤＫ,65,,,,平成25年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,400.0,2017年第２四半期,未改装,,7.518513939877887
47001878,中古マンション等,,47201,沖縄県,那覇市,宮城,赤嶺,10,３ＬＤＫ,70,,,,平成27年,ＲＣ,,住宅,,,,第１種住居地域,60.0,200.0,2018年第３四半期,未改装,,7.477121254719663
47000141,中古マンション等,,47201,沖縄県,那覇市,安謝,古島,26,１ＤＫ,30,,,,平成18年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2016年第３四半期,未改装,,6.929418925714293
47032783,中古マンション等,,47213,沖縄県,うるま市,字川崎,,,２ＬＤＫ,60,,,,昭和61年,ＲＣ,住宅,,,,,市街化区域及び市街化調整区域外の都市計画区域,60.0,200.0,2007年第４四半期,未改装,調停・競売等,6.690196080028514
47025375,中古マンション等,,47201,沖縄県,那覇市,具志,,,２ＬＤＫ,70,,,,平成12年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2013年第３四半期,,,7.204119982655925
47014923,中古マンション等,,47201,沖縄県,那覇市,牧志,牧志,,２ＬＤＫ,70,,,,平成22年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第４四半期,,,7.477121254719663
47016928,中古マンション等,,47201,沖縄県,那覇市,宇栄原,赤嶺,7,３ＬＤＫ,70,,,,平成3年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2011年第２四半期,改装済,,7.230448921378274
47016988,中古マンション等,,47201,沖縄県,那覇市,おもろまち,古島,15,３ＬＤＫ,70,,,,平成16年,ＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2011年第３四半期,未改装,,7.414973347970818
47027011,中古マンション等,,47201,沖縄県,那覇市,宇栄原,,,３ＬＤＫ,75,,,,平成9年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2009年第３四半期,改装済,,7.230448921378274
47015853,中古マンション等,,47201,沖縄県,那覇市,前島,美栄橋,6,３ＬＤＫ,65,,,,平成23年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2014年第４四半期,未改装,,7.342422680822207
47031053,中古マンション等,,47201,沖縄県,那覇市,繁多川,,,４ＬＤＫ,65,,,,平成7年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2007年第４四半期,改装済,,7.041392685158225
47015901,中古マンション等,,47201,沖縄県,那覇市,松尾,牧志,10,２ＬＤＫ,45,,,,,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2014年第２四半期,未改装,,6.8750612633917
47015796,中古マンション等,,47201,沖縄県,那覇市,長田,安里,30分?60分,,90,,,,,ＳＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2014年第３四半期,未改装,,7.204119982655925
47000350,中古マンション等,,47201,沖縄県,那覇市,おもろまち,おもろまち,6,２ＬＤＫ,65,,,,平成25年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,400.0,2018年第３四半期,未改装,,7.643452676486188
47027322,中古マンション等,,47201,沖縄県,那覇市,泊,牧志,8,３ＬＤＫ,60,,,,昭和57年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2009年第２四半期,未改装,関係者間取引,6.477121254719663
47003532,中古マンション等,,47208,沖縄県,浦添市,安波茶,,,３ＬＤＫ,65,,,,平成11年,ＲＣ,住宅,,,,,第１種低層住居専用地域,50.0,100.0,2016年第２四半期,未改装,,7.0
47031033,中古マンション等,,47201,沖縄県,那覇市,長田,,,３ＬＤＫ,60,,,,平成3年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2008年第４四半期,未改装,,6.977723605288848
47001712,中古マンション等,,47201,沖縄県,那覇市,松尾,美栄橋,13,１ＤＫ,30,,,,昭和64年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第１四半期,改装済,,6.8750612633917
47001732,中古マンション等,,47201,沖縄県,那覇市,字松川,おもろまち,16,１ＤＫ,30,,,,昭和50年,ＳＲＣ,,住宅,,,,第２種住居地域,60.0,200.0,2019年第４四半期,未改装,,6.681241237375588
47032250,中古マンション等,,47211,沖縄県,沖縄市,園田,,,３ＬＤＫ,65,,,,昭和62年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2008年第２四半期,未改装,調停・競売等,6.799340549453582
47003918,中古マンション等,,47208,沖縄県,浦添市,前田,首里,8,２ＬＤＫ,60,,,,平成31年,ＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2019年第３四半期,改装済,,7.505149978319906
